cycle_countBattery_health,SOH
20.36707277,100.3808456
20.36707277,100.2764879
20.36707277,100.1721301
20.36707277,100.0677723
20.36707277,99.96341457
20.36707277,99.8590568
20.36707277,99.75469904
20.36707277,99.65034128
20.36707277,99.54598351
20.36707277,99.44162575
20.36707277,99.33726799
20.36707277,99.23291023
20.36707277,99.12855246
20.36707277,99.0241947
20.36707277,98.91983694
20.36707277,98.81547917
20.36707277,98.71112141
20.36707277,98.60676365
24.53357957,101.0069922
24.53357957,100.9026344
24.53357957,100.7982767
24.53357957,100.6939189
24.53357957,100.5895611
24.53357957,100.4852034
24.53357957,100.3808456
24.53357957,100.2764879
24.53357957,100.1721301
24.53357957,100.0677723
24.53357957,99.96341457
24.53357957,99.8590568
24.53357957,99.75469904
24.53357957,99.65034128
24.53357957,99.54598351
24.53357957,99.44162575
24.53357957,99.33726799
24.53357957,99.23291023
24.53357957,99.12855246
24.53357957,99.0241947
24.53357957,98.91983694
24.53357957,98.81547917
24.53357957,98.71112141
24.53357957,98.60676365
24.53357957,98.50240589
28.70008636,100.9026344
28.70008636,100.7982767
28.70008636,100.6939189
28.70008636,100.5895611
28.70008636,100.4852034
28.70008636,100.3808456
28.70008636,100.2764879
28.70008636,100.1721301
28.70008636,100.0677723
28.70008636,99.96341457
28.70008636,99.8590568
28.70008636,99.75469904
28.70008636,99.65034128
28.70008636,99.54598351
28.70008636,99.44162575
28.70008636,99.33726799
28.70008636,99.23291023
28.70008636,99.12855246
28.70008636,99.0241947
28.70008636,98.91983694
28.70008636,98.81547917
28.70008636,98.71112141
28.70008636,98.60676365
32.86659316,100.7982767
32.86659316,100.6939189
32.86659316,100.5895611
32.86659316,100.4852034
32.86659316,100.3808456
32.86659316,100.2764879
32.86659316,100.1721301
32.86659316,100.0677723
32.86659316,99.96341457
32.86659316,99.8590568
32.86659316,99.75469904
32.86659316,99.65034128
32.86659316,99.54598351
32.86659316,99.44162575
32.86659316,99.33726799
32.86659316,99.23291023
32.86659316,99.12855246
32.86659316,99.0241947
32.86659316,98.91983694
32.86659316,98.81547917
32.86659316,98.71112141
32.86659316,98.60676365
32.86659316,98.50240589
37.03309995,100.5895611
37.03309995,100.4852034
37.03309995,100.3808456
37.03309995,100.2764879
37.03309995,100.1721301
37.03309995,100.0677723
37.03309995,99.96341457
37.03309995,99.8590568
37.03309995,99.75469904
37.03309995,99.65034128
37.03309995,99.54598351
37.03309995,99.44162575
37.03309995,99.33726799
37.03309995,99.23291023
37.03309995,99.12855246
37.03309995,99.0241947
37.03309995,98.91983694
37.03309995,98.81547917
37.03309995,98.71112141
37.03309995,98.60676365
37.03309995,98.50240589
37.03309995,98.39804812
37.03309995,98.29369036
37.03309995,97.77190155
41.19960675,100.4852034
41.19960675,100.3808456
41.19960675,100.2764879
41.19960675,100.1721301
41.19960675,100.0677723
41.19960675,99.96341457
41.19960675,99.8590568
41.19960675,99.75469904
41.19960675,99.65034128
41.19960675,99.54598351
41.19960675,99.44162575
41.19960675,99.33726799
41.19960675,99.23291023
41.19960675,99.12855246
41.19960675,99.0241947
41.19960675,98.91983694
41.19960675,98.81547917
41.19960675,98.71112141
41.19960675,98.60676365
41.19960675,98.50240589
41.19960675,98.39804812
41.19960675,98.29369036
41.19960675,98.1893326
41.19960675,97.87625931
41.19960675,97.77190155
41.19960675,97.66754378
45.36611354,100.3808456
45.36611354,100.2764879
45.36611354,100.1721301
45.36611354,100.0677723
45.36611354,99.96341457
45.36611354,99.8590568
45.36611354,99.75469904
45.36611354,99.65034128
45.36611354,99.54598351
45.36611354,99.44162575
45.36611354,99.33726799
45.36611354,99.23291023
45.36611354,99.12855246
45.36611354,99.0241947
45.36611354,98.91983694
45.36611354,98.81547917
45.36611354,98.71112141
45.36611354,98.60676365
45.36611354,98.50240589
45.36611354,98.39804812
45.36611354,98.29369036
45.36611354,98.1893326
45.36611354,98.08497483
45.36611354,97.98061707
45.36611354,97.87625931
45.36611354,97.77190155
45.36611354,97.66754378
45.36611354,97.56318602
49.53262034,100.2764879
49.53262034,100.1721301
49.53262034,100.0677723
49.53262034,99.96341457
49.53262034,99.8590568
49.53262034,99.75469904
49.53262034,99.65034128
49.53262034,99.54598351
49.53262034,99.44162575
49.53262034,99.33726799
49.53262034,99.23291023
49.53262034,99.12855246
49.53262034,99.0241947
49.53262034,98.91983694
49.53262034,98.81547917
49.53262034,98.71112141
49.53262034,98.60676365
49.53262034,98.50240589
49.53262034,98.39804812
49.53262034,98.29369036
49.53262034,98.1893326
49.53262034,98.08497483
49.53262034,97.98061707
49.53262034,97.87625931
49.53262034,97.77190155
49.53262034,97.66754378
49.53262034,97.56318602
49.53262034,97.45882826
49.53262034,97.35447049
53.69912713,100.0677723
53.69912713,99.96341457
53.69912713,99.8590568
53.69912713,99.75469904
53.69912713,99.65034128
53.69912713,99.54598351
53.69912713,99.44162575
53.69912713,99.33726799
53.69912713,99.23291023
53.69912713,99.12855246
53.69912713,99.0241947
53.69912713,98.91983694
53.69912713,98.81547917
53.69912713,98.71112141
53.69912713,98.60676365
53.69912713,98.50240589
53.69912713,98.39804812
53.69912713,98.29369036
53.69912713,98.1893326
53.69912713,98.08497483
53.69912713,97.98061707
53.69912713,97.87625931
53.69912713,97.77190155
53.69912713,97.66754378
53.69912713,97.56318602
53.69912713,97.45882826
53.69912713,97.35447049
53.69912713,97.25011273
57.86563393,99.96341457
57.86563393,99.8590568
57.86563393,99.75469904
